profile_id,latitude,longitude,upper_depth,lower_depth,date,bdfi33,bdfiod,bdwsod,cecph7,cfgr,cfvo,clay,ecec,elco20,elcosp,nitkjd,orgc,phaq,phca,phetb1,phkc,phnf,phprtn,sand,silt,totc,wg0006,wg0010,wg0033,wg0200,wg1500
1566619,20.060290794481944,-89.47507861209212,45,89,2003-5-16,,,,,,,66.0,,,0.0,,4.0,7.5,,,,,,20.0,14.0,,,,,,
1566619,20.060290794481944,-89.47507861209212,89,125,2003-5-16,,,,,,,77.0,,,0.0,,3.0,7.8,,,,,,13.0,10.0,,,,,,
1566620,20.790819249825812,-88.33048439155351,0,20,2003-5-31,,,,,,,63.0,,,0.2,,30.0,7.6,,,,,,24.0,13.0,,,,,,
1566620,20.790819249825812,-88.33048439155351,20,37,2003-5-31,,,,,,,66.0,,,0.1,,19.0,8.2,,,,,,21.0,13.0,,,,,,
1566620,20.790819249825812,-88.33048439155351,37,70,2003-5-31,,,,,,,12.0,,,0.1,,7.0,8.5,,,,,,78.0,10.0,,,,,,
1566620,20.790819249825812,-88.33048439155351,70,118,2003-5-31,,,,,,,52.0,,,0.1,,6.0,8.5,,,,,,38.0,10.0,,,,,,
1566621,20.74177947351622,-88.89259723425796,0,19,2003-3-20,,,,,,,74.0,,,0.2,,32.0,6.8,,,,,,23.0,3.0,,,,,,
1566621,20.74177947351622,-88.89259723425796,19,45,2003-3-20,,,,,,,80.0,,,0.1,,16.0,7.4,,,,,,7.0,13.0,,,,,,
1566621,20.74177947351622,-88.89259723425796,45,89,2003-3-20,,,,,,,68.0,,,0.0,,11.0,7.6,,,,,,21.0,11.0,,,,,,
1566621,20.74177947351622,-88.89259723425796,89,106,2003-3-20,,,,,,,58.0,,,0.1,,6.0,7.7,,,,,,31.0,11.0,,,,,,
1566621,20.74177947351622,-88.89259723425796,106,124,2003-3-20,,,,,,,50.0,,,0.1,,4.0,7.9,,,,,,34.0,16.0,,,,,,
1566621,20.74177947351622,-88.89259723425796,124,140,2003-3-20,,,,,,,69.0,,,0.1,,3.0,8.2,,,,,,16.0,15.0,,,,,,
1566625,20.8484351499786,-87.27123886365332,0,15,2003-10-8,,,,,,,64.0,,,0.3,,29.0,7.1,,,,,,26.0,10.0,,,,,,
1566626,20.136616391770225,-87.46376251837057,0,12,2003-10-13,,,,,,,16.0,,,0.8,,18.0,8.1,,,,,,74.0,10.0,,,,,,
1566626,20.136616391770225,-87.46376251837057,12,23,2003-10-13,,,,,,,24.0,,,1.3,,16.0,8.3,,,,,,72.0,4.0,,,,,,
1566626,20.136616391770225,-87.46376251837057,23,38,2003-10-13,,,,,,,24.0,,,2.0,,11.0,8.4,,,,,,72.0,4.0,,,,,,
1566626,20.136616391770225,-87.46376251837057,38,58,2003-10-13,,,,,,,24.0,,,2.0,,9.0,8.2,,,,,,68.0,8.0,,,,,,
1566626,20.136616391770225,-87.46376251837057,58,75,2003-10-13,,,,,,,20.0,,,1.6,,10.0,8.1,,,,,,76.0,4.0,,,,,,
1566626,20.136616391770225,-87.46376251837057,75,125,2003-10-13,,,,,,,16.0,,,0.6,,21.0,8.6,,,,,,76.0,8.0,,,,,,
1566627,20.325595877976053,-87.3921406314969,0,12,2003-10-14,,,,,,,,,,0.6,,88.0,7.3,,,,,,,,,,,,,
1566628,21.00865615479995,-89.15855387962128,0,21,????-??-??,,,,,,,28.0,,,1.0,,,7.6,,,,,,44.0,28.0,,,,,,
1566629,21.6098683266219,-88.05068917931901,0,30,2002-12-5,,,,,,,2.0,,,0.6,,10.0,8.2,,,,,,96.0,2.0,,,,,,
1566629,21.6098683266219,-88.05068917931901,30,52,2002-12-5,,,,,,,3.0,,,0.1,,2.0,8.9,,,,,,96.0,1.0,,,,,,
1566629,21.6098683266219,-88.05068917931901,52,75,2002-12-5,,,,,,,2.0,,,0.1,,0.0,8.9,,,,,,96.0,2.0,,,,,,
1566629,21.6098683266219,-88.05068917931901,75,107,2002-12-5,,,,,,,2.0,,,0.1,,0.0,9.0,,,,,,96.0,2.0,,,,,,
1566629,21.6098683266219,-88.05068917931901,107,135,2002-12-5,,,,,,,4.0,,,0.2,,0.0,9.0,,,,,,96.0,0.0,,,,,,
1566629,21.6098683266219,-88.05068917931901,135,150,2002-12-5,,,,,,,2.0,,,0.2,,0.0,8.9,,,,,,96.0,2.0,,,,,,
1566632,21.427153029411883,-87.34259938815218,0,17,2002-11-28,,,,,,,38.0,,,0.2,,41.0,8.1,,,,,,52.0,10.0,,,,,,
1566632,21.427153029411883,-87.34259938815218,17,30,2002-11-28,,,,,,,46.0,,,0.2,,27.0,8.4,,,,,,38.0,16.0,,,,,,
1566633,21.06281783059714,-87.72248693192613,0,16,2002-12-3,,,,,,,18.0,,,0.2,,29.0,7.8,,,,,,66.0,16.0,,,,,,
1566634,27.28065597957035,-114.28934701291102,0,16,????-??-??,,,,,,,26.0,,,1.0,,,8.4,,,,,,50.0,24.0,,,,,,
1566634,27.28065597957035,-114.28934701291102,16,37,????-??-??,,,,,,,30.0,,,1.0,,,8.5,,,,,,46.0,24.0,,,,,,
1566634,27.28065597957035,-114.28934701291102,37,70,????-??-??,,,,,,,34.0,,,5.5,,,7.9,,,,,,38.0,28.0,,,,,,
1566636,27.400691389200727,-112.77852049955814,0,8,????-??-??,,,,,,,6.0,,,2.0,,,7.5,,,,,,78.0,16.0,,,,,,
1566638,27.26935210137331,-113.16902646746739,0,14,????-??-??,,,,,,,12.0,,,1.0,,,8.3,,,,,,68.0,20.0,,,,,,
1566640,27.06590231260604,-113.93223171226266,0,9,2005-4-7,,,,,,,2.0,,,0.1,,0.0,7.9,,,,,,72.0,26.0,,,,,,
