profile_id,latitude,longitude,upper_depth,lower_depth,date,clay,orgc,phaq,phca,sand,geometry,bedrock
1378607,52.58330154418945,0.33333298563957214,27,50,????-??-??,14.0,7.0,8.2,7.7,67.0,POINT (0.3333329856396209 52.58330154418945),rocas_igneas
1378656,52.58330154418945,0.33333298563957214,0,30,????-??-??,20.0,23.0,7.6,7.1,53.0,POINT (0.3333329856396209 52.58330154418945),rocas_igneas
1378656,52.58330154418945,0.33333298563957214,30,40,????-??-??,19.0,19.0,7.8,7.2,53.0,POINT (0.3333329856396209 52.58330154418945),rocas_igneas
1378656,52.58330154418945,0.33333298563957214,40,64,????-??-??,7.0,4.0,8.2,7.6,82.0,POINT (0.3333329856396209 52.58330154418945),rocas_igneas
1378656,52.58330154418945,0.33333298563957214,64,80,????-??-??,4.0,3.0,8.4,7.8,91.0,POINT (0.3333329856396209 52.58330154418945),rocas_igneas
1378685,53.13330078125,-2.416670083999634,24,57,????-??-??,25.0,36.0,4.4,3.9,8.0,POINT (-2.4166700839996222 53.133300781249986),rocas_igneas
1378685,53.13330078125,-2.416670083999634,57,70,????-??-??,23.0,9.0,4.5,4.0,14.0,POINT (-2.4166700839996222 53.133300781249986),rocas_igneas
1378685,53.13330078125,-2.416670083999634,70,100,????-??-??,22.0,3.0,4.9,4.0,27.0,POINT (-2.4166700839996222 53.133300781249986),rocas_igneas
1388504,58.56388888888889,-3.6194444444444445,0,16,1970-6-1,23.0,83.7,5.5,4.9,42.0,POINT (-3.6194444444444454 58.56388888888889),rocas_sedimentarias
1388504,58.56388888888889,-3.6194444444444445,16,38,1970-6-1,24.0,9.8,5.7,5.1,44.0,POINT (-3.6194444444444454 58.56388888888889),rocas_sedimentarias
1388581,52.583333333333336,-0.3333333333333333,0,30,1981-6-1,20.0,23.0,7.6,7.1,53.0,POINT (-0.3333333333333041 52.58333333333332),rocas_igneas
1388581,52.583333333333336,-0.3333333333333333,30,40,1981-6-1,19.0,19.0,7.8,7.2,53.0,POINT (-0.3333333333333041 52.58333333333332),rocas_igneas
1388581,52.583333333333336,-0.3333333333333333,40,64,1981-6-1,7.0,4.0,8.2,7.6,82.0,POINT (-0.3333333333333041 52.58333333333332),rocas_igneas
1388581,52.583333333333336,-0.3333333333333333,64,80,1981-6-1,4.0,3.0,8.4,7.8,91.0,POINT (-0.3333333333333041 52.58333333333332),rocas_igneas
1413459,53.11669921875,-1.0833300352096558,0,10,????-??-??,52.0,82.0,5.2,4.8,7.0,POINT (-1.0833300352096267 53.11669921874998),rocas_igneas
1413459,53.11669921875,-1.0833300352096558,10,20,????-??-??,53.0,32.0,5.6,5.1,4.0,POINT (-1.0833300352096267 53.11669921874998),rocas_igneas
1413459,53.11669921875,-1.0833300352096558,20,43,????-??-??,67.0,31.0,6.5,6.0,1.0,POINT (-1.0833300352096267 53.11669921874998),rocas_igneas
1413459,53.11669921875,-1.0833300352096558,43,67,????-??-??,69.0,8.0,7.1,6.7,1.0,POINT (-1.0833300352096267 53.11669921874998),rocas_igneas
1413459,53.11669921875,-1.0833300352096558,67,110,????-??-??,59.0,7.0,7.5,6.9,2.0,POINT (-1.0833300352096267 53.11669921874998),rocas_igneas
1413460,51.66669845581055,0.800000011920929,0,8,????-??-??,20.0,89.0,4.2,3.5,11.0,POINT (0.8000000119209872 51.66669845581055),rocas_igneas
1413460,51.66669845581055,0.800000011920929,8,16,????-??-??,20.0,16.0,4.1,3.6,12.0,POINT (0.8000000119209872 51.66669845581055),rocas_igneas
1413460,51.66669845581055,0.800000011920929,16,38,????-??-??,24.0,6.0,4.2,3.8,8.0,POINT (0.8000000119209872 51.66669845581055),rocas_igneas
1413460,51.66669845581055,0.800000011920929,38,62,????-??-??,33.0,2.0,5.1,4.2,5.0,POINT (0.8000000119209872 51.66669845581055),rocas_igneas
1413460,51.66669845581055,0.800000011920929,62,84,????-??-??,34.0,2.0,4.9,4.2,5.0,POINT (0.8000000119209872 51.66669845581055),rocas_igneas
1413460,51.66669845581055,0.800000011920929,84,180,????-??-??,36.0,2.0,4.9,4.1,4.0,POINT (0.8000000119209872 51.66669845581055),rocas_igneas
1423151,55.80833333333333,-3.841666666666667,0,24,1991-8-1,4.0,39.3,5.7,5.4,80.0,POINT (-3.841666666666665 55.80833333333333),rocas_igneas
1423151,55.80833333333333,-3.841666666666667,24,55,1991-8-1,19.0,18.3,5.7,5.2,58.0,POINT (-3.841666666666665 55.80833333333333),rocas_igneas
1423151,55.80833333333333,-3.841666666666667,55,85,1991-8-1,16.0,23.4,4.7,4.2,59.0,POINT (-3.841666666666665 55.80833333333333),rocas_igneas
1423241,52.78333333333333,-3.0833333333333335,0,19,1981-6-1,29.0,31.0,6.3,5.9,9.0,POINT (-3.0833333333333113 52.78333333333331),rocas_igneas
1423241,52.78333333333333,-3.0833333333333335,19,50,1981-6-1,28.0,10.0,5.9,5.4,10.0,POINT (-3.0833333333333113 52.78333333333331),rocas_igneas
1423241,52.78333333333333,-3.0833333333333335,50,82,1981-6-1,30.0,7.0,5.6,5.0,10.0,POINT (-3.0833333333333113 52.78333333333331),rocas_igneas
1423241,52.78333333333333,-3.0833333333333335,82,141,1981-6-1,25.0,4.0,5.8,5.1,7.0,POINT (-3.0833333333333113 52.78333333333331),rocas_igneas
1423242,53.11666666666667,-2.9166666666666665,0,22,1981-6-1,23.0,48.0,5.1,4.6,27.0,POINT (-2.9166666666666337 53.11666666666665),rocas_igneas
1423242,53.11666666666667,-2.9166666666666665,22,43,1981-6-1,32.0,8.0,7.0,6.5,25.0,POINT (-2.9166666666666337 53.11666666666665),rocas_igneas
1423242,53.11666666666667,-2.9166666666666665,43,62,1981-6-1,45.0,5.0,7.8,7.4,13.0,POINT (-2.9166666666666337 53.11666666666665),rocas_igneas
1423242,53.11666666666667,-2.9166666666666665,62,84,1981-6-1,32.0,4.0,8.2,7.8,31.0,POINT (-2.9166666666666337 53.11666666666665),rocas_igneas
