date,elcosp,landcover,latitude,longitude,lower_depth,orgc,phaq,precipitation,sand,temperature,upper_depth,ecoregion,rock_fragments,silt_plus_clay,depth_fraction,soc_tha
10/31/2002,1.4,10,22.676746,-100.08362,29,15.0,7.8,96.69832611,54.0,15.45202351,10,5,2.7135665877247583,46.0,0.24358974358974358,-0.042825983411675074
11/12/2002,0.7,16,31.573263,-107.771034,12,9.0,8.1,43.62361145,34.0,13.86884212,0,5,10.158108810919348,66.0,1.0,-5.679272965568282
11/15/2004,0.1,10,26.652714,-104.25653,15,7.0,8.7,85.93345642,60.0,14.86365414,0,5,1.0006839497940343,40.0,1.0,-0.000428935009629847
11/17/2004,0.5,9,27.156096,-107.15126,6,41.0,5.4,85.93345642,36.0,14.86365414,0,4,18.787321715709176,64.0,0.14285714285714285,27.306750715706244
11/18/2002,0.1,10,22.531755,-102.03061,25,7.0,7.8,43.62361145,44.0,13.86884212,0,5,17.211284753409025,56.0,1.0,-10.166809965391952
11/19/2004,0.1,9,26.93075,-105.89768,29,8.0,6.3,85.93345642,48.0,14.86365414,0,5,33.70037816712298,52.0,1.0,-20.731516551905298
11/20/2002,0.2,7,30.178385,-106.149376,11,7.0,8.6,43.62361145,44.0,13.86884212,0,5,2.982079097203521,56.0,1.0,-1.2430490133366052
11/27/2002,0.1,8,19.744259,-97.59656,16,11.0,5.8,43.62361145,46.0,13.86884212,0,4,2.9594925601075666,54.0,1.0,-1.039267826059611
11/28/2002,0.1,7,22.826143,-102.5606,15,6.0,7.2,43.62361145,48.0,13.86884212,0,5,30.518651860959828,52.0,0.16666666666666666,-2.9499759923768814
11/29/2002,0.1,7,22.892761,-102.42688,10,10.0,8.4,43.62361145,38.0,13.86884212,0,5,4.631386322840276,62.0,0.05555555555555555,-0.11814110170307039
11/29/2002,0.2,7,22.892761,-102.42688,20,8.0,8.3,43.62361145,38.0,13.86884212,10,5,4.631386322840276,62.0,0.05555555555555555,-0.12790226813886502
11/29/2004,0.2,10,26.086622,-104.734314,12,31.0,8.3,85.93345642,48.0,14.86365414,0,5,33.05999812935542,52.0,1.0,157.68979383907748
11/4/2002,0.0,12,21.331858,-103.64406,8,14.0,5.8,43.62361145,65.0,13.86884212,0,4,8.708265352367773,35.0,0.05333333333333334,-0.09890259442193236
11/4/2002,0.0,12,21.331858,-103.64406,15,6.0,5.5,43.62361145,59.0,13.86884212,8,4,8.708265352367773,41.0,0.04666666666666667,-0.21569329775118326
11/5/2003,0.1,10,29.400341,-105.41018,10,18.0,7.5,22.05642509,57.0,13.04871178,0,5,21.547463723756927,43.0,1.0,8.947516363292292
11/6/2002,0.2,7,22.18095,-100.88932,18,12.0,7.7,43.62361145,44.0,13.86884212,0,5,0.9807057560057877,56.0,1.0,0.008768539302585709
11/6/2003,0.1,7,29.768377,-105.233505,18,7.0,8.6,22.05642509,56.0,13.04871178,0,5,4.685663938246096,44.0,1.0,-2.31144202488741
12/10/2003,0.1,9,19.170536,-100.522156,15,30.0,7.6,11.58660698,54.0,12.89338875,0,4,14.324371171859386,46.0,1.0,59.2881219663055
12/14/2002,0.4,7,32.30388,-115.32715,28,1.0,8.7,20.71763039,42.0,12.58985233,0,5,14.681438904980944,58.0,1.0,-2.07487229857379
12/5/2003,0.1,10,20.596972,-101.99022,14,16.0,6.6,11.58660698,61.0,12.89338875,0,5,11.636514879879567,39.0,1.0,0.5963255702255635
3/12/2003,0.0,10,22.488335,-103.82535,10,8.0,6.5,30.68841934,40.0,16.39164162,0,4,12.365901696668212,60.0,0.125,-0.9007249776575627
3/13/2003,0.1,10,22.31891,-103.417,18,12.0,5.0,30.68841934,50.0,16.39164162,0,5,10.983682883165937,50.0,1.0,-4.537224457815126
3/14/2003,0.2,7,22.55226,-103.05035,22,4.0,8.4,30.68841934,52.0,16.39164162,0,5,5.5265038180099735,48.0,1.0,-2.1840199861745404
3/2/2005,0.1,10,27.22597,-110.10134,15,13.0,8.1,20.5934391,52.0,13.24964809,0,5,0.1397083260187457,48.0,1.0,0.3078674196176278
3/27/2003,0.0,7,20.962652,-102.183586,10,7.0,5.7,30.68841934,58.0,16.39164162,0,5,1.8330796471929722,42.0,1.0,-0.5224609022591895
3/4/2005,7.0,10,27.463324,-110.33213,30,7.0,7.4,39.32666397,34.0,16.27096748,13,5,0.1397083260187457,66.0,0.19767441860465115,0.10665063891841972
3/5/2003,0.0,10,22.982803,-103.24759,20,4.0,5.7,30.68841934,56.0,16.39164162,0,5,6.297690690086695,44.0,0.2222222222222222,-0.5680254593786823
4/1/2005,0.1,17,26.97949,-113.98955,26,1.0,9.7,83.41119385,68.0,16.08542633,0,5,8.175006818942762,32.0,1.0,-1.0881328341335836
4/10/2005,1.6,17,27.751268,-114.99228,22,2.0,8.2,83.41119385,48.0,16.08542633,4,5,8.810501978731399,52.0,0.34615384615384615,-0.7641122231204941
4/11/2005,0.1,17,26.462809,-112.48128,22,0.0,8.8,83.41119385,68.0,16.08542633,5,5,17.731115407951343,32.0,0.3148148148148148,-0.0
4/13/2005,0.1,17,27.452068,-114.22329,9,5.0,8.3,83.41119385,48.0,16.08542633,0,5,24.6818053737909,52.0,1.0,-13.058147483108305
4/16/2005,0.2,17,26.191551,-111.58772,9,27.0,8.2,83.41119385,58.0,16.08542633,0,5,36.00592846951321,42.0,0.1323529411764706,14.67210892962853
4/16/2005,0.2,17,26.191551,-111.58772,25,12.0,7.9,83.41119385,58.0,16.08542633,9,5,36.00592846951321,42.0,0.23529411764705882,-3.7432786531691433
4/23/2003,0.0,8,19.157711,-103.87051,24,9.0,7.9,49.94464874,54.0,16.51515007,0,2,3.026039913714879,46.0,1.0,-1.2564202879314903
4/25/2005,0.1,9,25.602728,-106.45688,9,51.0,5.7,83.41119385,52.0,16.08542633,0,4,26.77963140621121,48.0,1.0,480.6030687203555
4/26/2005,0.4,7,25.811928,-106.15371,19,60.0,5.2,83.41119385,42.0,16.08542633,0,4,17.97890337557767,58.0,1.0,467.23225465049643
4/27/2003,0.1,10,18.673712,-100.91699,14,5.0,8.6,49.94464874,44.0,16.51515007,0,2,7.624430130676657,56.0,1.0,-3.6527107740551097
4/8/2005,0.1,9,17.973316,-100.23708,22,18.0,5.4,83.41119385,49.0,16.08542633,0,4,19.141834431983774,51.0,1.0,7.899970654413923
