grid_id,geometry,upper_depth,lower_depth,elcosp,orgc,phaq,sand,tceq,temperature,precipitation,landcover,latitude,longitude,organic_matter,bulk_density,silt_plus_clay,spatial_lag,moran_i,hotspot,coldspot,doughnut,diamond,target_binary,mean_dist_knn,knn_target_mean,dist_to_hotspot
1214,"POLYGON ((-3.9721679345910963 55.05999990498117, -3.872167934591077 55.05999990498117, -3.87216793459109 54.959999904981174, -3.972167934591071 54.959999904981174, -3.9721679345910963 55.05999990498117))",0.0,10.0,0.0,84.4556227249093,5.169255890863994,40.74757281553398,59.73176291793313,8.019702911376953,109.54206848144533,10.439584877687176,54.992000579833984,-3.915499926,145.60149357774364,-7.11608961466462,11.0,84.45562272490933,4.568170087406877e-08,0,0,0,0,0,0.0,84.4556227249093,222000.63374159095
1214,"POLYGON ((-3.9721679345910963 55.05999990498117, -3.872167934591077 55.05999990498117, -3.87216793459109 54.959999904981174, -3.972167934591071 54.959999904981174, -3.9721679345910963 55.05999990498117))",0.0,10.0,0.0,84.4556227249093,5.169255890863994,40.74757281553398,59.73176291793313,11.23339429414568,56.77785570159105,10.439584877687176,54.992000579833984,-3.915499926,145.60149357774364,-7.11608961466462,0.0,84.45562272490933,4.568170087406877e-08,0,0,0,0,0,0.0,84.4556227249093,222000.63374159095
1214,"POLYGON ((-3.9721679345910963 55.05999990498117, -3.872167934591077 55.05999990498117, -3.87216793459109 54.959999904981174, -3.972167934591071 54.959999904981174, -3.9721679345910963 55.05999990498117))",0.0,20.0,0.0,84.4556227249093,5.169255890863994,40.74757281553398,59.73176291793313,12.32871437072754,81.91723633,10.439584877687176,54.99229813,-3.915800095,145.60149357774364,-7.11608961466462,8.0,84.45562272490933,4.568170087406877e-08,0,0,0,0,0,0.0,84.4556227249093,222000.63374159095
1214,"POLYGON ((-3.9721679345910963 55.05999990498117, -3.872167934591077 55.05999990498117, -3.87216793459109 54.959999904981174, -3.972167934591071 54.959999904981174, -3.9721679345910963 55.05999990498117))",0.0,20.0,0.0,84.4556227249093,5.169255890863994,40.74757281553398,59.73176291793313,15.545504570007324,38.67273712158203,10.439584877687176,54.99229813,-3.915800095,145.60149357774364,-7.11608961466462,0.0,84.45562272490933,4.568170087406877e-08,0,0,0,0,0,0.0,84.4556227249093,222000.63374159095
1214,"POLYGON ((-3.9721679345910963 55.05999990498117, -3.872167934591077 55.05999990498117, -3.87216793459109 54.959999904981174, -3.972167934591071 54.959999904981174, -3.9721679345910963 55.05999990498117))",0.0,20.0,0.0,84.4556227249093,5.169255890863994,40.74757281553398,59.73176291793313,11.23339429414568,56.77785570159105,10.439584877687176,54.99229813,-3.915800095,145.60149357774364,-7.11608961466462,33.0,84.45562272490933,4.568170087406877e-08,0,0,0,0,0,0.0,84.4556227249093,222000.63374159095
1214,"POLYGON ((-3.9721679345910963 55.05999990498117, -3.872167934591077 55.05999990498117, -3.87216793459109 54.959999904981174, -3.972167934591071 54.959999904981174, -3.9721679345910963 55.05999990498117))",0.0,21.0,0.0,84.4556227249093,5.9,58.0,59.73176291793313,11.505549430847168,90.4621124267578,10.439584877687176,55.01003996193407,-3.877983549,145.60149357774364,-7.11608961466462,42.0,84.45562272490933,4.568170087406877e-08,0,0,0,0,0,0.0,84.4556227249093,222000.63374159095
1215,"POLYGON ((-3.972167934591071 55.15999990498117, -3.872167934591077 55.15999990498117, -3.872167934591077 55.05999990498117, -3.9721679345910963 55.05999990498117, -3.972167934591071 55.15999990498117))",0.0,22.0,0.0,84.4556227249093,5.0,78.0,59.73176291793313,8.411602020263672,22.05398178100586,10.439584877687176,55.09985226479665,-3.882193803,145.60149357774364,-7.11608961466462,22.0,84.4556227249093,4.568170087406878e-08,0,0,0,0,0,10961.724854858445,84.4556227249093,235207.67646972535
1216,"POLYGON ((-3.972167934591071 55.25999990498118, -3.87216793459109 55.2599999049812, -3.872167934591077 55.15999990498117, -3.972167934591071 55.15999990498117, -3.972167934591071 55.25999990498118))",8.0,18.0,0.0,84.4556227249093,4.3,72.0,59.73176291793313,8.339245796203613,27.237510681152344,10.439584877687176,55.18966301728334,-3.886427606,145.60149357774364,-7.11608961466462,28.0,84.4556227249093,4.568170087406877e-08,0,0,0,0,0,9460.895186374764,84.4556227249093,248431.82562886208
1216,"POLYGON ((-3.972167934591071 55.25999990498118, -3.87216793459109 55.2599999049812, -3.872167934591077 55.15999990498117, -3.972167934591071 55.15999990498117, -3.972167934591071 55.25999990498118))",0.0,8.0,0.0,84.4556227249093,4.7,86.0,59.73176291793313,8.339245796203613,27.237510681152344,10.439584877687176,55.18966301728334,-3.886427606,145.60149357774364,-7.11608961466462,14.0,84.4556227249093,4.568170087406877e-08,0,0,0,0,0,9460.895186374764,84.4556227249093,248431.82562886208
1217,"POLYGON ((-3.972167934591071 55.35999990498116, -3.872167934591077 55.35999990498116, -3.87216793459109 55.2599999049812, -3.972167934591071 55.25999990498118, -3.972167934591071 55.35999990498116))",6.0,24.0,0.0,84.4556227249093,4.6,83.0,59.73176291793313,8.339245796203613,27.237510681152344,10.439584877687176,55.27947221929033,-3.890685137,145.60149357774364,-7.11608961466462,17.0,84.4556227249093,4.568170087406875e-08,0,0,0,0,0,9465.974186203523,84.4556227249093,261673.18598422257
