bedrock,date,ecoregion,elcosp,geometry,landcover,latitude,longitude,lower_depth,orgc,phaq,precipitation,sand,slopemean,soil_type,temperature,upper_depth,rock_fragments,organic_matter,bulk_density,silt_plus_clay,depth_fraction,soc_tha
rocas_igneas,11/6/2002,5,0.0,POINT (-107.788704 30.660408),7.0,30.660408,-107.788704,28,2.0,7.2,43.62361145,88.0,0.9606830053001281,XEROSOL LUVICO,13.86884212,0,12.09860401849226,3.448,1.4131200000000002,12.0,28,6.956052358605741
rocas_igneas,11/8/2003,2,0.0,POINT (-99.40293 16.867392),9.0,16.867392,-99.40293,25,13.0,6.2,22.05642509,71.0,4.105205535888672,REGOSOL EUTRICO,13.04871178,0,1.6554170402698807,22.412,0.2752800000000002,29.0,25,8.79849645907522
rocas_igneas,12/5/2002,5,0.5,POINT (-115.97907 32.54643),7.0,32.54643,-115.97907,7,14.0,7.9,20.71763039,68.0,3.8056198358535767,LITOSOL,12.58985233,0,36.00954337814244,24.136,0.17184000000000021,32.0,7,1.0776197664582015
rocas_igneas,4/7/2005,5,1.6,POINT (-114.13779 27.14446),17.0,27.14446,-114.13779,3,2.0,8.8,83.41119385,77.0,0.31264987912167,XEROSOL HAPLICO,16.08542633,0,6.684694231924076,3.448,1.4131200000000002,23.0,3,0.7911943493219006
rocas_igneas,4/8/2005,5,0.1,POINT (-114.312675 27.218628),17.0,27.218628,-114.312675,2,5.0,8.8,83.41119385,64.0,0.2332809031009674,XEROSOL HAPLICO,16.08542633,0,13.195998978853215,8.62,1.1028000000000002,36.0,2,0.9572745232612071
rocas_igneas,7/28/2004,5,0.2,POINT (-102.533875 23.614511),7.0,23.614511,-102.533875,14,16.0,8.3,165.5812531,82.0,0.26683145277969245,XEROSOL CALCICO,16.67821503,0,4.157046514214919,27.584,-0.03503999999999974,18.0,14,-0.7522675081917821
rocas_igneas,7/5/2005,2,0.1,POINT (-97.92756 22.67297),10.0,22.67297,-97.92756,25,5.0,8.7,142.0421143,74.0,0.2427731433811663,VERTISOL PELICO,15.95401573,0,0.7383029735291601,8.62,1.1028000000000002,26.0,25,13.683224935099009
rocas_igneas,8/5/2001,5,0.0,POINT (-112.090836 30.754381),7.0,30.754381,-112.090836,19,3.0,8.0,109.4155121,82.0,0.8398703122250387,XEROSOL HAPLICO,16.04876137,0,9.445789304623265,5.172,1.3096800000000002,18.0,19,6.760031203820699
rocas_igneas,9/2/2005,2,0.1,POINT (-109.888245 28.61562),10.0,28.61562,-109.888245,10,3.0,8.5,114.8077774,86.0,0.9008330830555789,REGOSOL EUTRICO,15.7622776,0,12.814179643026113,5.172,1.3096800000000002,14.0,10,3.425565756153648
rocas_igneas,11/13/2003,2,0.1,POINT (-99.86806 16.89846),13.0,16.89846,-99.86806,5,19.0,5.2,22.05642509,60.0,5.276138782501221,REGOSOL EUTRICO,13.04871178,0,13.076124661231127,32.756,-0.3453599999999999,40.0,5,-2.8519028107647344
rocas_igneas,6/11/2001,5,0.1,POINT (-115.37899 32.43241),7.0,32.43241,-115.37899,10,0.0,8.4,150.5167542,81.0,1.7808980301244934,REGOSOL EUTRICO,16.92475128,0,8.673315186497332,0.0,1.62,19.0,10,0.0
rocas_igneas,6/26/2001,5,0.1,POINT (-117.079056 32.48768),7.0,32.48768,-117.079056,18,7.0,5.4,150.5167542,61.0,1.2662581886563982,VERTISOL CROMICO,16.92475128,0,4.929652818309805,12.068,0.8959200000000002,39.0,18,10.732103606324507
rocas_igneas,8/11/2003,5,0.2,POINT (-111.33978 30.389292),7.0,30.389292,-111.33978,28,4.0,8.0,155.0924683,70.0,0.3492241280764381,XEROSOL LUVICO,16.81706238,0,7.203346045080641,6.896,1.2062400000000002,30.0,28,12.536724017057177
rocas_igneas,8/18/2003,4,0.1,POINT (-105.38215 20.375334),12.0,20.375334,-105.38215,27,4.0,5.4,155.0924683,88.0,7.566558837890625,REGOSOL EUTRICO,16.81706238,9,12.031811595008032,6.896,1.2062400000000002,12.0,18,7.639973825877902
rocas_igneas,10/10/2003,4,0.4,POINT (-99.45823 18.446022),12.0,18.446022,-99.45823,24,37.0,7.7,113.9457397,69.0,14.81826400756836,RENDZINA,15.17655277,0,16.27166873309133,63.788,-2.2072799999999995,31.0,24,-164.11294148247404
rocas_igneas,10/18/2002,5,0.2,POINT (-101.846695 29.204002),9.0,29.204002,-101.846695,26,12.0,7.8,96.69832611,68.0,6.960857391357422,RENDZINA,15.45202351,0,13.67227415622887,20.688,0.37872000000000017,32.0,26,10.200539335444539
rocas_igneas,10/27/2003,2,0.1,POINT (-104.181816 19.281836),8.0,19.281836,-104.181816,16,10.0,5.6,113.9457397,82.0,0.9953377730441544,REGOSOL EUTRICO,15.17655277,0,12.76690783808301,17.24,0.5856000000000003,18.0,16,8.173391803202978
rocas_igneas,10/9/2003,2,0.2,POINT (-99.91448 18.417168),12.0,18.417168,-99.91448,10,11.0,6.5,113.9457397,84.0,12.80140209197998,REGOSOL EUTRICO,15.17655277,0,7.812280682667419,18.964,0.48216000000000014,16.0,10,4.88941538206496
rocas_igneas,11/1/2002,4,0.0,POINT (-98.09065 19.681948),2.0,19.681948,-98.09065,23,45.0,6.2,43.62361145,58.0,4.237656593322494,ANDOSOL HUMICO,13.86884212,0,1.006763299201873,77.58,-3.0347999999999997,42.0,23,-310.9395383554675
rocas_igneas,11/11/2002,5,0.2,POINT (-112.88117 31.671856),10.0,31.671856,-112.88117,20,4.0,7.8,43.62361145,76.0,0.8138591194040464,YERMOSOL CALCICO,13.86884212,0,15.025145729670289,6.896,1.2062400000000002,24.0,20,8.200005457203401
rocas_igneas,11/11/2003,5,1.2,POINT (-105.03136 29.34899),9.0,29.34899,-105.03136,29,3.0,10.0,22.05642509,88.0,1.0231452423639447,XEROSOL CALCICO,13.04871178,5,14.450932894128515,5.172,1.3096800000000002,12.0,24,8.06701695891968
rocas_igneas,11/13/2002,5,0.1,POINT (-112.46008 31.67186),7.0,31.67186,-112.46008,15,5.0,7.3,43.62361145,74.0,0.33709969940182144,LITOSOL,13.86884212,0,22.26156648931878,8.62,1.1028000000000002,26.0,15,6.429745835668445
rocas_igneas,11/13/2003,2,0.0,POINT (-99.69912 16.925968),8.0,16.925968,-99.69912,25,5.0,6.1,22.05642509,77.0,1.1330651475323572,REGOSOL EUTRICO,13.04871178,0,10.410134277319376,8.62,1.1028000000000002,23.0,25,12.349962989871528
rocas_igneas,11/14/2002,5,0.0,POINT (-106.34597 30.834784),7.0,30.834784,-106.34597,14,2.0,8.4,43.62361145,90.0,0.2050696083096495,REGOSOL CALCARICO,13.86884212,0,1.3033171560851884,3.448,1.4131200000000002,10.0,14,3.905167180891001
