date,profile_id,longitude,latitude,upper_depth,lower_depth,clay,phaq,sand,silt,tceq
1979-8-6,1323628,-116.30437904460382,30.969768766341343,0,14,14.0,7.0,64.0,22.0,0.0
1979-8-7,1497273,-116.07416894008203,30.953671672330096,0,15,28.0,7.0,52.0,20.0,0.0
1980-7-20,1289077,-113.93170058192399,29.051592223023135,0,30,10.0,6.9,74.0,16.0,0.0
1981-1-10,1601447,-99.61620125228002,21.332899331775064,0,17,30.0,6.8,44.0,26.0,0.0
1981-1-6,1601444,-99.18284832348533,21.624055033175296,0,6,34.0,6.4,34.0,32.0,0.0
1981-1-6,1601444,-99.18284832348533,21.624055033175296,6,24,70.0,6.4,22.0,8.0,0.0
1981-1-8,1601445,-99.39473800994737,21.61544668203965,0,22,32.0,7.0,46.0,22.0,0.0
1981-11-28,1531773,-98.84026926297403,20.30658766590503,0,27,22.0,6.5,58.0,20.0,0.0
1981-11-7,1184593,-115.99485411012347,31.96495872679236,0,11,6.0,6.3,82.0,12.0,0.0
1981-11-7,1184593,-115.99485411012347,31.96495872679236,11,25,6.0,6.7,80.0,14.0,0.0
1981-11-8,1427713,-98.15933487468979,20.0543903353481,0,19,44.0,5.6,34.0,22.0,0.0
1981-12-11,1636278,-98.17892035639467,20.143313531545108,0,13,12.0,5.4,48.0,40.0,0.0
1981-12-8,1184350,-98.50536625138298,20.577349728015346,0,20,20.0,5.1,56.0,24.0,0.0
1981-4-20,1289018,-115.84251241152981,31.581342336734664,0,21,22.0,6.7,36.0,42.0,0.0
1981-4-27,1601733,-115.5700152657083,31.314015507651604,0,8,14.0,6.3,68.0,18.0,0.0
1981-4-30,1636554,-115.65953610238503,31.115081646714305,0,12,10.0,6.4,76.0,14.0,0.0
1981-5-2,1531759,-98.97928662989118,21.414108098978577,0,18,46.0,4.6,22.0,32.0,0.0
1981-5-28,1219140,-98.91253812076172,21.07773434131675,0,25,38.0,6.3,28.0,34.0,0.0
1981-6-20,1219104,-98.3013393335336,23.165104773102996,0,23,16.0,6.8,56.0,28.0,0.0
1982-1-28,1218935,-93.71431404943503,18.130237906159618,0,19,32.0,5.5,32.0,36.0,0.0
1982-1-29,1566387,-93.44850116416539,18.136569495312873,0,10,34.0,5.8,40.0,26.0,0.0
1982-1-31,1427483,-93.2247439287619,18.434981274575854,0,30,4.0,5.6,94.0,2.0,0.0
1982-2-1,1462054,-93.19183006835857,18.128578270291445,0,26,28.0,6.0,28.0,44.0,0.0
1982-2-10,1531775,-98.22565516489918,20.028451547599367,0,18,20.0,5.6,54.0,26.0,0.0
1982-2-11,1219161,-99.97325502409034,20.657937819054734,0,30,48.0,6.5,34.0,18.0,0.0
1982-2-12,1288722,-99.59408102447121,20.124116518258685,0,17,28.0,6.9,44.0,28.0,0.0
1982-2-15,1219158,-99.22169605170696,20.86492733833946,0,9,36.0,6.4,36.0,28.0,0.0
1982-2-2,1496781,-91.53881357269253,17.12049970561476,0,23,16.0,6.2,72.0,12.0,0.0
1982-2-26,1218951,-92.24768377727162,17.960282442563457,0,26,52.0,5.4,20.0,28.0,0.0
1982-2-4,1601284,-91.31771024779218,17.03023028379206,0,15,16.0,5.7,64.0,20.0,0.0
1982-2-6,1427513,-91.3838438008077,17.464259471204873,0,11,18.0,5.9,58.0,24.0,0.0
1982-2-6,1601280,-91.58787024487232,17.483190307065122,0,10,22.0,5.8,50.0,28.0,0.0
1982-2-6,1601280,-91.58787024487232,17.483190307065122,10,28,34.0,5.2,44.0,22.0,0.0
1982-2-8,1636083,-93.15235852880845,17.537903358700284,0,12,42.0,5.2,44.0,14.0,0.0
1982-2-8,1636083,-93.15235852880845,17.537903358700284,12,25,44.0,5.1,40.0,16.0,0.0
1982-3-12,1427709,-98.78441293152477,20.696065563071343,0,17,22.0,6.1,52.0,26.0,0.0
1982-3-14,1427430,-99.75664765527333,18.43322365384972,0,14,48.0,6.8,30.0,22.0,0.0
1982-3-14,1427430,-99.75664765527333,18.43322365384972,14,29,50.0,6.8,28.0,22.0,0.0
1982-3-16,1670901,-98.33094310346462,20.343979164475662,0,22,20.0,4.7,38.0,42.0,0.0
1982-3-20,1427414,-97.2822529139289,19.531214975842854,0,18,10.0,6.7,66.0,24.0,0.0
1982-3-4,1462073,-92.2296469124982,17.27042478435943,0,25,36.0,6.2,36.0,28.0,0.0
1982-4-18,1462070,-92.48235446468432,17.66668650083181,0,11,18.0,5.4,60.0,22.0,0.0
1982-4-5,1149133,-102.92305615683014,18.84195560471396,0,23,24.0,4.9,50.0,26.0,0.0
1982-4-5,1218825,-102.23094820556447,18.733874289182634,0,10,20.0,6.7,50.0,30.0,0.0
1982-4-5,1218829,-102.71925647862021,18.092524230154375,0,15,18.0,6.8,64.0,18.0,0.0
1982-4-5,1288448,-103.09718861480862,18.889618607299376,0,11,26.0,5.2,34.0,40.0,0.0
1982-4-5,1288450,-103.02059134025782,18.4973771411174,0,18,22.0,6.1,46.0,32.0,0.0
1982-4-5,1357866,-103.06765582048122,18.712479018412548,0,11,34.0,5.5,26.0,40.0,0.0
1982-4-5,1427376,-103.19640962913135,18.740559294949513,0,10,42.0,6.3,26.0,32.0,0.0
1982-4-5,1461947,-102.76877110967139,18.83658042728421,0,30,26.0,5.6,20.0,54.0,0.0
1982-4-5,1496644,-102.29334587499949,18.43416005869139,0,22,16.0,6.1,64.0,20.0,0.0
1982-4-5,1601143,-102.85437479065101,18.76479664482826,0,12,10.0,6.3,72.0,18.0,0.0
1982-4-5,1601146,-103.01291086280902,18.313223681994813,0,17,28.0,6.5,50.0,22.0,0.0
