,upper_depth,lower_depth,elcosp,orgc,phaq,sand,tceq,temperature,precipitation,organic_matter,bulk_density,silt_plus_clay,landcover,geometry,spatial_lag,moran_i,dist_knn_km,knn_target_mean,dist_to_hotspot_km
1221,0,28,8.5,9.0,6.5,20.0,0.0,13.98333454,69.20405579,15.516,0.6890400000000001,80.0,0.0,POINT (-107.10278 24.109825),7.800000000000001,0.2106811461557498,82.9478330833994,7.8,149.53191072875296
1222,0,14,1.0,8.0,6.4,48.0,0.0,13.98333454,69.20405579,13.792,0.7924800000000002,52.0,0.0,POINT (-107.020744 24.096155),9.999999999999998,0.17060885844183618,81.8549700842664,11.2,150.18440856435492
1223,0,25,2.1,3.0,7.6,54.0,46.3192068429238,13.98333454,69.20405579,5.172,1.3096800000000002,46.0,0.0,POINT (-107.0144 24.033785),11.333333333333334,0.21444299468819988,89.00597525517978,13.6,157.05553067838036
1224,0,10,1.0,6.0,6.5,52.0,0.0,13.98333454,69.20405579,10.344,0.9993600000000001,48.0,0.0,POINT (-107.13882 24.485584),7.5,0.3294480425617586,78.18418806051636,8.0,108.96531804319548
1225,0,20,2.0,13.0,7.5,68.0,46.3192068429238,16.57782555,42.17856598,22.412,0.2752800000000002,32.0,0.0,POINT (-107.66233 26.797539),12.0,0.029062978851659305,102.70475431078319,8.8,98.74903948123553
1226,0,16,2.0,9.0,5.1,46.0,0.0,16.57782555,42.17856598,15.516,0.6890400000000001,54.0,0.0,POINT (-107.59487 26.888014),10.5,0.1315346340472611,62.51534218852415,11.8,103.82000758405671
1227,0,9,2.0,14.0,6.4,54.0,0.0,16.57782555,42.17856598,24.136,0.17184000000000021,46.0,0.0,POINT (-107.58217 26.931501),9.4,0.02700401455528136,60.07824553101811,10.8,107.52475143692627
1228,0,12,2.0,6.0,5.8,72.0,0.0,16.57782555,42.17856598,10.344,0.9993600000000001,28.0,0.0,POINT (-107.5785 26.986467),12.25,0.12043995172731799,66.47313601748314,11.0,112.866106720893
1229,0,12,2.0,23.0,4.6,24.0,0.0,16.57782555,42.17856598,39.652,-0.7591199999999998,76.0,0.0,POINT (-107.091446 26.846718),18.0,0.11819746335741028,35.48132174770783,21.8,86.77168774455495
1230,12,22,2.0,13.0,5.1,18.0,0.0,16.57782555,42.17856598,22.412,0.2752800000000002,82.0,0.0,POINT (-107.091446 26.846718),19.666666666666664,-0.04552818746145896,35.48132174770783,21.8,86.77168774455495
1231,0,30,2.0,12.0,6.3,62.0,0.0,16.57782555,42.17856598,20.688,0.37872000000000017,38.0,0.0,POINT (-106.69478 26.886562),8.333333333333332,0.09731457799102616,75.63643569124804,6.8,98.0317611594923
1232,0,11,2.0,11.0,7.1,62.0,46.3192068429238,16.57782555,42.17856598,18.964,0.48216000000000014,38.0,0.0,POINT (-106.25548 26.619087),11.428571428571427,0.06946875150159497,59.29854201018936,11.0,65.37490734274282
1233,11,23,2.0,13.0,5.8,44.0,0.0,16.57782555,42.17856598,22.412,0.2752800000000002,56.0,0.0,POINT (-106.25548 26.619087),11.14285714285714,0.037402363905299864,59.29854201018936,11.0,65.37490734274282
1234,0,19,2.0,8.0,5.3,66.0,0.0,16.57782555,42.17856598,13.792,0.7924800000000002,34.0,0.0,POINT (-106.17683 26.9086),10.200000000000001,0.16376694181917925,86.75939524509357,10.2,98.23345851566192
1235,0,11,2.0,15.0,5.7,72.0,0.0,17.2745266,77.15855408,25.86,0.06840000000000024,28.0,0.0,POINT (-106.78502 26.10561),19.71428571428571,0.000297041151338439,33.95934330648933,15.4,23.188617831131964
1236,0,22,2.0,13.0,5.4,48.0,0.0,17.2745266,77.15855408,22.412,0.2752800000000002,52.0,0.0,POINT (-106.67636 26.171822),19.5,-0.04390664036769552,68.14693428657766,15.0,26.796410349302427
1237,0,14,2.0,27.0,6.2,54.0,0.0,17.2745266,77.15855408,46.548,-1.1728799999999997,46.0,0.0,POINT (-106.60769 26.254929),15.272727272727273,0.01679546536611086,80.93244501132283,16.4,33.32792726682524
1238,0,17,2.0,33.0,7.1,60.0,46.3192068429238,17.2745266,77.15855408,56.891999999999996,-1.7935199999999996,40.0,0.0,POINT (-106.481415 26.03368),19.75,0.42004350260905793,67.93372938881896,14.0,10.593629628763633
1239,0,21,2.0,13.0,6.1,66.0,0.0,17.2745266,77.15855408,22.412,0.2752800000000002,34.0,0.0,POINT (-106.308846 26.033106),30.625,-0.15214490887640517,90.26974150933164,30.4,0.0
1240,0,15,2.0,38.0,6.8,54.0,0.0,17.2745266,77.15855408,65.512,-2.31072,46.0,0.0,POINT (-106.07985 26.02196),21.09090909090909,0.6877223228603498,96.87606495093584,32.8,14.82458360958662
1241,0,8,2.0,33.0,6.6,56.0,0.0,17.2745266,77.15855408,56.891999999999996,-1.7935199999999996,44.0,0.0,POINT (-106.34616 26.19078),22.3,0.6449328976916592,55.6948178666636,26.4,17.924051228202295
1242,8,25,2.0,15.0,5.9,38.0,0.0,17.2745266,77.15855408,25.86,0.06840000000000024,62.0,0.0,POINT (-106.34616 26.19078),24.1,0.0005726291643985788,55.6948178666636,26.4,17.924051228202295
1243,0,22,2.0,34.0,6.4,44.0,0.0,17.2745266,77.15855408,58.616,-1.8969599999999995,56.0,0.0,POINT (-106.18057 26.142132),20.0,0.466634620727522,79.65818853980814,23.8,17.637462955134257
