profile_id,depth_category,date,longitude,latitude,clay,elcosp,phaq,sand,silt,orgc,soil_type,slopemean,bedrock,cfr,temperature,precipitation,ecoregion_type,zone_number,zone_name,landcover
1601257,0_5,2003-5-20,-91.27388410199956,18.097633358264577,1.8905048619994,0.0,6.29019014458721,89.7916509160796,8.317844221921,13.2882001056403,GLEYSOL VERTICO,0.1533177342065942,rocas_sedimentarias,0.00331806065015,16.423494338989258,179.60772705078125,Terrestre,1.0,Tropical húmeda,4.0
1601257,15_30,2003-5-20,-91.27388410199956,18.097633358264577,1.81843918443778,0.0003538711442881,5.74538331798049,92.0711898693497,6.11037094621254,3.26104609353621,GLEYSOL VERTICO,0.1533177342065942,rocas_sedimentarias,0.0062151991616897,16.423494338989258,179.60772705078125,Terrestre,1.0,Tropical húmeda,4.0
1601257,5_15,2003-5-20,-91.27388410199956,18.097633358264577,2.1307237872048,0.0002830969154304,6.09232401105405,90.2487432940682,7.62053291872697,10.4620468126539,GLEYSOL VERTICO,0.1533177342065942,rocas_sedimentarias,0.0018681420349993,16.423494338989258,179.60772705078125,Terrestre,1.0,Tropical húmeda,4.0
1601258,0_5,2003-5-21,-91.36048585522109,18.18470639741132,4.13739069499466,0.111504138880762,6.22234572184628,77.2948169058012,18.5677923992042,22.031336936321,GLEYSOL PLINTICO,0.1533177342065942,rocas_sedimentarias,0.00331806065015,16.423494338989258,179.60772705078125,Terrestre,1.0,Tropical húmeda,8.0
1601258,15_30,2003-5-21,-91.36048585522109,18.18470639741132,1.25258318199217,0.0040091295145065,6.20803380730957,88.2716950173709,10.6803876512616,1.61147059666025,GLEYSOL PLINTICO,0.1533177342065942,rocas_sedimentarias,0.0062151991616897,16.423494338989258,179.60772705078125,Terrestre,1.0,Tropical húmeda,8.0
1601258,5_15,2003-5-21,-91.36048585522109,18.18470639741132,3.63713456772549,0.0703112273281179,6.14330320160215,79.8391355091455,16.523729923129,14.7541923725778,GLEYSOL PLINTICO,0.1533177342065942,rocas_sedimentarias,0.0018681420349993,16.423494338989258,179.60772705078125,Terrestre,1.0,Tropical húmeda,8.0
1601263,0_5,1983-4-10,-94.13353948261998,17.51355762228306,20.0487167580602,2.0,4.31080625832909,51.3860465680446,28.5652366738952,14.8556590927785,ACRISOL ORTICO,1.8118379910786944,rocas_sedimentarias,0.0,14.968445777893066,55.14191055297852,Terrestre,1.0,Tropical húmeda,
1601263,15_30,1983-4-10,-94.13353948261998,17.51355762228306,20.6022811317727,2.0,4.21262475341514,57.6664170777879,21.7313017904394,4.69215063140123,ACRISOL ORTICO,1.8118379910786944,rocas_sedimentarias,0.0,14.968445777893066,55.14191055297852,Terrestre,1.0,Tropical húmeda,
1601263,5_15,1983-4-10,-94.13353948261998,17.51355762228306,19.8353818313689,2.0,4.26102857154863,54.2219705419158,25.9426476267153,10.88760076749,ACRISOL ORTICO,1.8118379910786944,rocas_sedimentarias,0.0,14.968445777893066,55.14191055297852,Terrestre,1.0,Tropical húmeda,
1601265,0_5,2004-8-16,-95.02747137350016,17.33951240713775,20.0170855497764,0.0,5.72578434343755,58.7074984140055,21.2754160362181,19.0339483694531,CAMBISOL EUTRICO,0.8872466491556715,rocas_sedimentarias,0.00331806065015,15.84479808807373,185.40122985839844,Terrestre,1.0,Tropical húmeda,5.0
