date,longitude,latitude,upper_depth,lower_depth,country_name,region,continent,elcosp,orgc,phaq,sand,tceq,temperature,precipitation,landcover,silt_plus_clay,organic_matter,bulk_density
1922-06-24,-103.52647,19.535187,5,17,Mexico,Central America,Northern America,0.2,41.0,7.0,82.0,0.0,13.86884212,43.62361145,4.0,18.0,70.684,-2.62104
1948-12-06,-103.462166,19.519089,0,15,Mexico,Central America,Northern America,0.1,11.0,6.2,74.0,0.0,13.86884212,43.62361145,9.0,26.0,18.964,0.48216000000000014
1933-02-27,-103.56405,19.352394,0,21,Mexico,Central America,Northern America,0.0,14.0,5.3,64.0,0.0,13.86884212,43.62361145,5.0,36.0,24.136,0.17184000000000021
1978-09-15,-103.526596,21.085909,0,10,Mexico,Central America,Northern America,0.0,39.0,4.8,53.0,0.0,13.86884212,43.62361145,12.0,47.0,67.236,-2.41416
1963-02-19,-103.526596,21.085909,10,29,Mexico,Central America,Northern America,0.0,10.0,5.5,55.0,0.0,13.86884212,43.62361145,12.0,45.0,17.24,0.5856000000000003
1950-11-26,-97.9473,19.922789,0,26,Mexico,Central America,Northern America,0.2,20.0,6.8,44.0,0.0,13.86884212,43.62361145,12.0,56.0,34.48,-0.4487999999999994
2014-04-05,-116.53009,32.410763,0,12,Mexico,Central America,Northern America,0.1,5.0,6.4,80.0,0.0,13.86884212,43.62361145,7.0,20.0,8.62,1.1028000000000002
1904-03-23,-116.53009,32.410763,12,26,Mexico,Central America,Northern America,0.0,2.0,6.8,82.0,0.0,13.86884212,43.62361145,7.0,18.0,3.448,1.4131200000000002
1981-09-16,-103.66786,21.318659,0,11,Mexico,Central America,Northern America,0.2,17.0,4.8,59.0,0.0,13.86884212,43.62361145,12.0,41.0,29.308,-0.13847999999999971
1960-09-18,-103.64406,21.331858,0,8,Mexico,Central America,Northern America,0.0,14.0,5.8,65.0,0.0,13.86884212,43.62361145,12.0,35.0,24.136,0.17184000000000021
1976-03-04,-103.64406,21.331858,8,15,Mexico,Central America,Northern America,0.0,6.0,5.5,59.0,0.0,13.86884212,43.62361145,12.0,41.0,10.344,0.9993600000000001
1918-03-11,-116.297844,32.52215,0,10,Mexico,Central America,Northern America,0.1,4.0,6.2,78.0,0.0,13.86884212,43.62361145,7.0,22.0,6.896,1.2062400000000002
1918-06-01,-116.297844,32.52215,10,24,Mexico,Central America,Northern America,0.0,4.0,6.7,80.0,0.0,13.86884212,43.62361145,7.0,20.0,6.896,1.2062400000000002
1900-04-18,-116.19871,32.491863,0,12,Mexico,Central America,Northern America,0.1,11.0,6.5,82.0,0.0,13.86884212,43.62361145,7.0,18.0,18.964,0.48216000000000014
