elcosp,lower_depth,phaq,precipitation,sand,temperature,upper_depth,silt_plus_clay,soc_tha,landcover_2,landcover_4,landcover_5,landcover_6,landcover_7,landcover_8,landcover_9,landcover_10,landcover_11,landcover_12,landcover_13,landcover_14,landcover_16,landcover_17,ecoregion_2,ecoregion_3,ecoregion_4,ecoregion_5,ecoregion_6,ecoregion_7
0.1,18,8.7,185.4012299,88.0,15.84479809,0,12.0,-36.27862477804341,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.8,13,6.6,155.0924683,82.0,16.81706238,0,18.0,537.9512336489763,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.1,30,7.2,166.0456238,96.0,16.05256844,0,4.0,7.738862539970649,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
9.0,11,8.1,149.1352844,40.0,15.76737881,0,60.0,0.12534613585535453,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.0,9,6.9,144.7816925,90.0,16.06739998,0,10.0,-77.12400013640102,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.1,13,9.2,66.47177124,75.0,14.13183308,0,25.0,-124.22879487089612,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,22,9.2,66.47177124,72.0,14.13183308,0,28.0,-0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.0,14,5.8,113.9457397,89.0,15.17655277,0,11.0,-133.48025102535595,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.8,30,9.6,43.62361145,84.0,13.86884212,11,16.0,-0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,25,8.7,43.62361145,94.0,13.86884212,0,6.0,-0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0.1,22,8.8,43.62361145,96.0,13.86884212,0,4.0,-0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0.1,10,8.5,150.5167542,93.0,16.92475128,0,7.0,-18.780977676095112,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,25,8.7,150.5167542,89.0,16.92475128,10,11.0,-0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,24,8.5,150.5167542,95.0,16.92475128,10,5.0,-0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,25,8.5,150.5167542,95.0,16.92475128,0,5.0,-0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.1,10,8.1,150.5167542,95.0,16.92475128,0,5.0,70.25292662087426,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.1,26,8.4,150.5167542,95.0,16.92475128,10,5.0,-72.95400916114775,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.1,20,8.5,150.5167542,95.0,16.92475128,0,5.0,-0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.2,28,8.6,150.5167542,95.0,16.92475128,17,5.0,-6.4769228092023825,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.0,6,7.1,150.5167542,87.0,16.92475128,0,13.0,-27.00170076361011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,12,8.6,150.5167542,87.0,16.92475128,0,13.0,5.067794083894173,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.0,8,6.4,150.5167542,87.0,16.92475128,0,13.0,-14.570113540894505,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,13,7.5,150.5167542,95.0,16.92475128,0,5.0,-3.0649606785968304,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,9,6.4,150.5167542,93.0,16.92475128,0,7.0,-60.735929702460865,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,10,9.3,150.5167542,91.0,16.92475128,0,9.0,-0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,25,9.5,150.5167542,95.0,16.92475128,10,5.0,-0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,17,7.1,214.8472137,95.0,16.5090847,0,5.0,-59.85176795785418,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.2,6,5.3,165.5812531,64.0,16.67821503,0,36.0,3.7531065123096745,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.1,9,7.9,142.0421143,93.0,15.95401573,0,7.0,-53.27863569351416,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.0,20,8.0,142.0421143,84.0,15.95401573,0,16.0,2.888078042650993,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.0,15,6.9,142.0421143,92.0,15.95401573,0,8.0,-75.1142018918365,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,24,7.5,145.8343353,96.0,16.0439949,0,4.0,8.70105417345861,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0.0,14,5.7,185.4012299,85.0,15.84479809,0,15.0,-10.575427093032792,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.1,8,5.9,155.0924683,90.0,16.81706238,0,10.0,-57.380102204838884,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.1,20,8.7,155.0924683,88.0,16.81706238,0,12.0,-56.56145216248958,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,15,8.6,116.3781738,74.0,15.64566898,0,26.0,-21.32160768751519,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0.0,29,8.4,66.47177124,74.0,14.13183308,0,26.0,2.373280830285288,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,22,8.7,116.3781738,88.0,15.64566898,0,12.0,-0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,17,9.2,116.3781738,90.0,15.64566898,0,10.0,1.368833958064608,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,10,7.4,116.3781738,76.0,15.64566898,0,24.0,-13.63097414380223,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,15,8.4,116.3781738,86.0,15.64566898,0,14.0,-7.415712557653245,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,20,7.0,116.3781738,68.0,15.64566898,0,32.0,-17.41954659356884,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,20,8.1,116.3781738,96.0,15.64566898,0,4.0,-0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,9,5.6,113.9457397,78.0,15.17655277,0,22.0,-136.08826388205566,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0.0,25,8.2,22.05642509,88.0,13.04871178,11,12.0,-15.128904800724365,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,5,9.5,22.05642509,88.0,13.04871178,0,12.0,-32.45010658842717,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.2,14,8.7,22.05642509,86.0,13.04871178,0,14.0,-73.37667580299151,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,3,8.2,43.62361145,92.0,13.86884212,0,8.0,-5.090266571076752,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,14,6.6,43.62361145,84.0,13.86884212,3,16.0,1.6182655766483287,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.1,20,9.1,43.62361145,88.0,13.86884212,7,12.0,-0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,30,9.1,43.62361145,92.0,13.86884212,17,8.0,-19.2351080970482,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,30,9.0,43.62361145,92.0,13.86884212,15,8.0,-0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.1,14,8.5,43.62361145,90.0,13.86884212,0,10.0,-8.81813589290386,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.1,12,8.6,43.62361145,94.0,13.86884212,0,6.0,-4.876418025379274,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.2,22,8.0,43.62361145,92.0,13.86884212,0,8.0,-32.90439964565882,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,30,6.0,43.62361145,88.0,13.86884212,0,12.0,-0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.1,9,9.0,20.71763039,94.0,12.58985233,0,6.0,-0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,24,9.2,20.71763039,94.0,12.58985233,9,6.0,-10.785106678458616,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,25,4.3,11.58660698,89.0,12.89338875,0,11.0,-17.457839013933004,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.1,29,8.2,42.75613403,84.0,16.42529488,0,16.0,7.680754800159093,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,10,7.8,39.32666397,90.0,16.27096748,0,10.0,5.158446523859438,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.0,25,7.9,39.32666397,88.0,16.27096748,10,12.0,7.737669785789157,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.2,25,8.4,39.32666397,88.0,16.27096748,0,12.0,-20.758088781236104,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,17,8.9,83.41119385,88.0,16.08542633,0,12.0,-0.29659531238585635,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,4,8.4,83.41119385,61.0,16.08542633,0,39.0,-21.585339266694117,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,18,8.0,83.12443542,82.0,16.3982811,0,18.0,-6.892901310727709,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.1,20,9.1,83.41119385,80.0,16.08542633,0,20.0,0.9175175239119303,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,25,9.2,83.41119385,78.0,16.08542633,3,22.0,-35.345882497272825,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,23,9.2,83.41119385,82.0,16.08542633,8,18.0,-18.405072788281117,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.0,20,5.8,147.1418762,90.0,16.67577553,5,10.0,75.53681298996604,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.1,13,6.2,179.6077271,78.0,16.42349434,0,22.0,-11.63854161905375,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.1,8,7.1,147.1418762,60.0,16.67577553,0,40.0,-95.63984650255277,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.1,12,8.7,214.8472137,76.0,16.5090847,0,24.0,-19.98920609239393,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,5,6.8,214.8472137,76.0,16.5090847,0,24.0,1443.853924957239,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.1,6,8.0,211.8241882,95.0,16.66122246,0,5.0,-7.395935738175214,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.2,18,7.7,211.8241882,83.0,16.66122246,0,17.0,-7.333207163457827,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,20,8.3,175.6390991,92.0,16.9322319,0,8.0,-0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,17,8.4,214.8472137,82.0,16.5090847,0,18.0,8.719028613290442,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0.1,25,4.5,175.6390991,60.0,16.9322319,0,40.0,283.9305047290348,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.1,15,8.3,175.6390991,84.0,16.9322319,0,16.0,-69.15344298762368,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,29,8.3,142.0421143,88.0,15.95401573,17,12.0,-4.027643985642088,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,28,8.7,165.5812531,82.0,16.67821503,0,18.0,-1.4440008249383927,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.1,15,8.3,165.5812531,90.0,16.67821503,0,10.0,-30.240299961274225,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,19,5.1,142.0421143,56.0,15.95401573,0,44.0,-137.82437810119157,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.1,14,7.7,142.0421143,84.0,15.95401573,0,16.0,5.442187379917853,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,30,9.1,142.0421143,66.0,15.95401573,16,34.0,-52.08249460300061,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.8,21,8.0,142.0421143,90.0,15.95401573,8,10.0,-89.8585783331408,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,15,8.9,142.0421143,80.0,15.95401573,0,20.0,2.166058531988245,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,29,8.1,142.0421143,80.0,15.95401573,4,20.0,-115.9492146228943,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,17,7.7,142.0421143,74.0,15.95401573,0,26.0,2.4163984041938784,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,20,8.7,165.5812531,86.0,16.67821503,0,14.0,-127.51311628057863,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,6,9.1,142.0421143,74.0,15.95401573,0,26.0,1.131505565688012,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
4.1,25,8.3,142.0421143,82.0,15.95401573,0,18.0,-0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,20,8.6,165.5812531,86.0,16.67821503,0,14.0,-118.66497669917014,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,10,8.2,142.0421143,66.0,15.95401573,0,34.0,0.6721794348558809,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,25,8.3,165.5812531,88.0,16.67821503,0,12.0,-17.380175647704654,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,14,6.9,142.0421143,82.0,15.95401573,0,18.0,-27.321991252483294,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.3,12,4.8,145.8343353,86.0,16.0439949,0,14.0,65.29800629733657,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.1,30,8.8,165.5812531,94.0,16.67821503,0,6.0,-0.600464919653811,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.4,15,8.3,109.4155121,86.0,16.04876137,0,14.0,-41.968890630436825,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.0,29,5.5,185.4012299,84.0,15.84479809,14,16.0,-1.9210412838955295,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.1,18,8.8,166.0456238,58.0,16.05256844,0,42.0,-142.7176131507867,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.0,24,8.8,109.4155121,88.0,16.04876137,0,12.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.1,25,8.2,144.7816925,84.0,16.06739998,0,16.0,-184.25223547508753,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,20,6.5,144.7816925,86.0,16.06739998,0,14.0,-74.71407247412475,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.1,15,7.7,144.7816925,92.0,16.06739998,0,8.0,-0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.4,15,7.5,144.7816925,90.0,16.06739998,0,10.0,-196.69295595328364,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,16,6.7,144.7816925,90.0,16.06739998,0,10.0,-51.54554415526236,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0,30,6.7,144.7816925,90.0,16.06739998,16,10.0,-17.40894000534268,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.1,28,8.7,114.8077774,88.0,15.7622776,10,12.0,-83.55309189234359,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.1,19,9.2,114.8077774,84.0,15.7622776,0,16.0,-75.34269204155764,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,9,9.0,43.62361145,82.0,13.86884212,0,18.0,-28.532789617888,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0.1,26,9.2,43.62361145,84.0,13.86884212,0,16.0,-0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
16.9,3,8.6,20.5934391,46.0,13.24964809,0,54.0,0.9236022588528833,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1.0,28,9.0,179.6077271,90.0,16.42349434,13,10.0,-8.605156929186261,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.1,15,8.3,150.5167542,91.0,16.92475128,0,9.0,-10.586059321113272,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0.1,17,8.7,150.5167542,87.0,16.92475128,0,13.0,-10.009789796040042,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0.1,3,8.0,150.5167542,85.0,16.92475128,0,15.0,-16.33729465242291,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
