bedrock,date,ecoregion,elcosp,geometry,landcover,latitude,longitude,lower_depth,orgc,phaq,precipitation,sand,slopemean,soil_type,tceq,temperature,upper_depth,rock_fragments,organic_matter,bulk_density,silt_plus_clay,depth_fraction,sic_tha
rocas_igneas,4/22/2003,3,0.1,POINT (-103.926476 19.463894),8.0,19.463894,-103.926476,28,18.0,6.7,49.94464874,64.0,2.1285263895988464,ANDOSOL OCRICO,0.0,16.51515007,19,0.1267682053414837,31.032,-0.2419199999999999,36.0,9,-3.914135822193732
rocas_igneas,4/8/2005,5,0.2,POINT (-114.312675 27.218628),17.0,27.218628,-114.312675,14,2.0,9.0,83.41119385,68.0,0.2332809031009674,XEROSOL HAPLICO,51.0,16.08542633,2,13.195998978853215,3.448,1.4131200000000002,32.0,12,2.9439472781520704
rocas_igneas,5/19/2004,1,0.2,POINT (-92.32616 14.895821),8.0,14.895821,-92.32616,10,10.0,6.0,147.1418762,74.0,0.9143368881065529,FLUVISOL EUTRICO,0.0,16.67577553,0,1.3311041720560994,17.24,0.5856000000000003,26.0,10,5.778050539684399
rocas_igneas,6/27/2003,4,0.1,POINT (-100.43896 21.552551),8.0,21.552551,-100.43896,13,44.0,6.2,211.8241882,56.0,6.48730993270874,FEOZEM HAPLICO,0.0,16.66122246,0,16.222824533360928,75.856,-2.9313599999999997,44.0,13,-140.47236693540742
rocas_igneas,7/23/2004,5,0.1,POINT (-112.03807 28.900335),10.0,28.900335,-112.03807,8,5.0,8.5,165.5812531,70.0,0.9964179396629333,LITOSOL,530.0,16.67821503,0,28.060703641607354,8.62,1.1028000000000002,30.0,8,3.1733862409614177
rocas_igneas,8/26/2003,2,0.2,POINT (-104.8642 21.07363),10.0,21.07363,-104.8642,26,9.0,7.0,155.0924683,78.0,5.4152936935424805,REGOSOL EUTRICO,0.0,16.81706238,13,9.413166091469481,15.516,0.6890400000000001,22.0,13,7.302900388251063
rocas_igneas,4/28/2004,5,0.0,POINT (-103.29288 23.157919),7.0,23.157919,-103.29288,15,6.0,6.3,83.12443542,80.0,0.918349665269717,FEOZEM LUVICO,0.0,16.3982811,0,12.909579452334546,10.344,0.9993600000000001,20.0,15,7.833121441066347
rocas_igneas,6/24/2005,2,0.0,POINT (-103.44568 18.586054),8.0,18.586054,-103.44568,25,10.0,6.6,214.8472137,65.0,2.121681690216727,FEOZEM HAPLICO,0.0,16.5090847,0,12.306187040490098,17.24,0.5856000000000003,35.0,25,12.838374217272257
rocas_igneas,8/18/2003,4,0.0,POINT (-105.38215 20.375334),12.0,20.375334,-105.38215,9,21.0,5.5,155.0924683,82.0,7.566558837890625,REGOSOL EUTRICO,0.0,16.81706238,0,12.031811595008032,36.204,-0.5522399999999998,18.0,9,-9.181535396942051
rocas_igneas,11/14/2002,5,0.1,POINT (-112.46558 31.182411),7.0,31.182411,-112.46558,24,7.0,8.2,43.62361145,60.0,1.6984453201293945,LITOSOL,80.0,13.86884212,0,27.800244083286675,12.068,0.8959200000000002,40.0,24,10.867114493911506
rocas_igneas,11/17/2002,3,0.0,POINT (-97.0245 19.59058),8.0,19.59058,-97.0245,29,74.0,5.9,43.62361145,64.0,7.985912481943767,ANDOSOL HUMICO,0.0,13.86884212,0,1.0467813999797524,127.576,-6.034559999999999,36.0,29,-1281.460583355777
rocas_igneas,11/25/2002,4,0.0,POINT (-99.30243 19.205853),9.0,19.205853,-99.30243,25,43.0,5.8,43.62361145,64.0,7.053251028060913,ANDOSOL HUMICO,0.0,13.86884212,0,0.61920273891845,74.132,-2.8279199999999998,36.0,25,-302.1190150048496
rocas_igneas,11/28/2002,4,0.1,POINT (-103.462166 19.519089),9.0,19.519089,-103.462166,15,11.0,6.2,43.62361145,74.0,5.14578652381897,REGOSOL EUTRICO,0.0,13.86884212,0,6.154193600541365,18.964,0.48216000000000014,26.0,15,7.466034512237892
rocas_igneas,11/28/2002,4,0.2,POINT (-103.52647 19.535187),4.0,19.535187,-103.52647,17,41.0,7.0,43.62361145,82.0,14.333736419677734,REGOSOL EUTRICO,0.0,13.86884212,5,11.459130430026644,70.684,-2.62104,18.0,12,-114.17802710262002
rocas_igneas,11/4/2003,2,0.1,POINT (-99.09367 16.663204),8.0,16.663204,-99.09367,28,12.0,6.1,22.05642509,62.0,0.19984053401148189,FEOZEM HAPLICO,0.0,13.04871178,0,0.00167614666938405,20.688,0.37872000000000017,38.0,28,12.724778710470417
rocas_igneas,11/7/2002,4,0.0,POINT (-103.82165 21.869883),10.0,21.869883,-103.82165,30,3.0,5.7,43.62361145,66.0,12.60840892791748,FEOZEM HAPLICO,0.0,13.86884212,16,30.354253863739352,5.172,1.3096800000000002,34.0,14,3.83097291358899
