profile_id,depth_category,date,longitude,latitude,clay,phaq,sand,silt,orgc,slopemean,bedrock,cfr,temperature,landcover,precipitation,ecoregion
1462155,0_30,1973-3-1,-102.91530390901676,20.561328239844816,47.5565169561094,5.71865238590668,27.8123897660597,24.6310932778309,20.1488458883272,5.012327671049568,rocas_sedimentarias,0.974450588226318,11.679644584655762,Templada subhúmeda,11.034954071044922,Terrestre
1462156,0_30,1977-11-9,-102.39654328039931,20.706913002307225,52.4338802293089,5.77228757989137,27.5203484368853,20.0457713338057,14.3508639700102,0.9372088378858736,rocas_sedimentarias,1.893833207308248,13.44064712524414,Árida y semiárida,62.53034210205078,Terrestre
1462162,0_30,1992-4-14,-103.15313572071872,23.92940482178588,23.2694712023206,7.18563102052213,56.0957931965192,20.6347356011603,10.4131609970993,0.918349665269717,rocas_sedimentarias,28.76101079098612,16.46638298034668,Árida y semiárida,19.35375213623047,Terrestre
1462166,0_30,2004-4-21,-103.88761734231892,23.423888387806738,16.2781742327224,5.91060700309113,66.6194066692356,17.102419098042,6.61483613080851,2.862194836139679,rocas_sedimentarias,11.797739901906754,16.39828109741211,Árida y semiárida,83.12443542480469,Terrestre
1462167,0_30,2004-4-27,-103.0706510859008,23.351982150663147,9.00390793773753,7.19637428636591,77.0579397465137,13.9381523157487,6.53551380871722,0.918349665269717,rocas_sedimentarias,6.975874931727508,16.39828109741211,Árida y semiárida,83.12443542480469,Terrestre
1462174,0_30,1994-8-10,-105.28740831684335,22.048438854742862,13.3312250812698,4.79593638001156,62.4084497068395,24.2603252118907,9.90554042363633,0.1412201302463442,rocas_sedimentarias,0.114658806473017,16.15516471862793,Tropical subhúmeda,153.87380981445312,Terrestre
1462175,0_30,2003-11-19,-104.2919967136809,22.31470030435424,15.3444959001079,5.80623905750765,65.6322083996356,19.0232957002565,8.59008712771671,6.494953632354736,rocas_sedimentarias,11.486948152874303,13.048711776733398,Templada subhúmeda,22.05642509460449,Terrestre
1462176,0_30,2004-5-24,-105.42535796295697,22.682701807213853,15.8626263456829,5.88974898014296,67.015721380551,17.1216522737661,15.7124062694475,2.972988367078494,rocas_sedimentarias,18.76410828430388,16.6757755279541,Tropical subhúmeda,147.14187622070312,Terrestre
1462178,0_30,1970-9-27,-103.32811334460668,22.82214587663193,47.665462887185,6.78594872786661,38.203550390111,14.130986722704,30.7835101636111,2.818922281265259,rocas_igneas,17.714327023051368,15.31443977355957,Árida y semiárida,149.84019470214844,Terrestre
1462179,0_30,2003-3-13,-103.32115936741944,22.313363594516105,35.8912295641478,6.09285699803329,28.2624372309294,35.8463332049229,26.6558092225759,1.6588766773541768,rocas_igneas,12.949406015058711,16.39164161682129,Árida y semiárida,30.688419342041016,Terrestre
1462181,0_30,1996-2-15,-105.55482888052168,21.96246173956505,15.0303337030428,7.5429335550851,68.9696662969572,16.0,5.77559969429679,0.1412201302463442,rocas_sedimentarias,0.054006609459154,13.786928176879885,Inundable o Transición tierra-mar,20.51314926147461,Terrestre
1462186,0_30,1992-11-19,-104.55917682886812,21.407676553576028,34.7795957285087,4.72623440914545,42.2591748343826,22.9612294371087,7.35316094575449,8.510239601136467,rocas_igneas,19.733548670787712,13.22769546508789,Tropical subhúmeda,23.50219345092773,Terrestre
