date,profile_id,longitude,latitude,upper_depth,lower_depth,country_name,bdfi33,bdfiod,bdwsod,cecph7,cfgr,cfvo,clay,ecec,elco20,elcosp,nitkjd,orgc,phaq,phca,phetb1,phkc,phnf,phprtn,sand,silt,tceq,totc,wg0006,wg0010,wg0033,wg0200,wg1500
1970-9-16,1601384,-103.77426212192294,22.892131174366064,0,14,Mexico,,,,,,,12.0,,,2.0,,14.0,5.6,,,,,,56.0,32.0,0.0,,,,,,
1970-9-18,1496880,-103.69235700057123,22.873308552631425,0,7,Mexico,,,,,,,38.0,,,2.0,,66.0,7.5,,,,,,34.0,28.0,,,,,,,
1970-9-18,1496880,-103.69235700057123,22.873308552631425,7,23,Mexico,,,,,,,52.0,,,2.0,,30.0,5.2,,,,,,20.0,28.0,0.0,,,,,,
1970-9-2,1462384,-103.65046501429984,26.137793810431265,0,19,Mexico,,,,,,,44.0,,,2.0,,4.0,8.4,,,,,,28.0,28.0,,,,,,,
1970-9-24,1184269,-103.14845338702773,22.859997619055218,0,16,Mexico,,,,,,,20.0,,,2.0,,12.0,5.9,,,,,,56.0,24.0,0.0,,,,,,
1970-9-26,1392782,-103.04406916020025,22.842219638897713,0,27,Mexico,,,,,,,16.0,,,2.0,,16.0,6.4,,,,,,58.0,26.0,0.0,,,,,,
1970-9-27,1462178,-103.32811334460669,22.82214587663193,0,16,Mexico,,,,,,,48.0,,,2.0,,36.0,6.7,,,,,,38.0,14.0,0.0,,,,,,
1970-9-3,1427623,-103.48420546942516,22.541580781999315,0,21,Mexico,,,,,,,34.0,,,2.0,,38.0,7.8,,,,,,34.0,32.0,,,,,,,
1970-9-3,1462385,-102.15657894160803,26.09755868977416,0,30,Mexico,,,,,,,26.0,,,7.9,,12.0,7.8,,,,,,54.0,20.0,,,,,,,
1970-9-4,1636423,-103.0617836969944,26.080056639939787,0,22,Mexico,,,,,,,34.0,,,2.2,,1.0,8.4,,,,,,28.0,38.0,,,,,,,
1970-9-5,1219311,-103.48101619601404,26.041325974550862,0,11,Mexico,,,,,,,36.0,,,2.0,,7.0,8.9,,,,,,44.0,20.0,,,,,,,
1970-9-5,1496882,-102.90305567514581,22.518861265037426,0,21,Mexico,,,,,,,19.0,,,2.0,,29.0,6.9,,,,,,47.0,34.0,0.0,,,,,,
1970-9-5,1636208,-103.16609564779607,22.69772360345055,0,24,Mexico,,,,,,,18.0,,,2.0,,16.0,8.0,,,,,,48.0,34.0,,,,,,,
1970-9-6,1254121,-103.13448490065909,26.036761119746924,0,20,Mexico,,,,,,,36.0,,,2.0,,6.0,7.9,,,,,,40.0,24.0,,,,,,,
1971-10-12,1288702,-100.10340170230047,21.977607637743365,0,23,Mexico,,,,,,,18.0,,,2.0,,41.0,8.0,,,,,,54.0,28.0,,,,,,,
1971-10-18,1427702,-101.16543787496973,20.294257568076798,0,22,Mexico,,,,,,,60.0,,,2.0,,14.0,6.7,,,,,,24.0,16.0,0.0,,,,,,
1971-10-19,1670896,-101.13065680724011,20.427159500381805,0,26,Mexico,,,,,,,48.0,,,2.0,,8.0,8.7,,,,,,40.0,12.0,,,,,,,
1971-10-21,1427700,-101.6692424412262,20.807946324959932,0,18,Mexico,,,,,,,44.0,,,2.0,,6.0,6.8,,,,,,26.0,30.0,0.0,,,,,,
1971-10-22,1496846,-102.19816100283929,20.980045005289288,0,23,Mexico,,,,,,,24.0,,,2.0,,6.0,6.8,,,,,,40.0,36.0,0.0,,,,,,
1971-10-3,1427701,-101.238223812313,20.647509099302134,0,20,Mexico,,,,,,,54.0,,,2.0,,11.0,6.7,,,,,,30.0,16.0,0.0,,,,,,
1971-10-5,1253965,-101.00927982194699,20.19921986504815,0,20,Mexico,,,,,,,62.0,,,5.5,,16.0,8.8,,,,,,24.0,14.0,,,,,,,
1971-10-5,1323328,-101.05716280952973,20.26471711530466,0,25,Mexico,,,,,,,32.0,,,6.0,,3.0,9.8,,,,,,37.0,31.0,,,,,,,
1971-10-7,1427703,-101.1335652480424,20.141503080060083,0,20,Mexico,,,,,,,60.0,,,2.0,,19.0,6.2,,,,,,26.0,14.0,0.0,,,,,,
